,p,z,mdens_sum,mdens_to_divide,serpent_burnup,mdens_ratio,corrected_burnup
fuelP27Z5,27,5,13.103799263312341,13.472424277519337,6.75296,0.9726385536401121,6.613733133693324
fuelP28Z5,28,5,13.019185009810004,13.472424277519337,6.33353,0.9663580022145214,6.160235458636259
fuelP29Z5,29,5,12.861802231029934,13.472424277519337,11.864,0.9546761567249398,11.464871338273083
fuelP30Z5,30,5,12.674443107988244,13.472424277519337,14.2572,0.9407692963720985,13.61100890165881
fuelP31Z5,31,5,12.473227439455103,13.472424277519337,15.5433,0.9258339243567665,14.622659404300439
fuelP32Z5,32,5,12.191223924017363,13.472424277519337,22.1217,0.9049020185891978,20.481020324443083
fuelP33Z5,33,5,11.883803712485474,13.472424277519337,24.6351,0.8820835409938281,22.292351718146747
fuelP34Z5,34,5,11.58929965460042,13.472424277519337,24.1264,0.8602237738265727,21.281500343433496
fuelP35Z5,35,5,11.20280439787871,13.472424277519337,32.5392,0.8315358963696079,27.990993421297613
fuelP36Z5,36,5,10.819766872360754,13.472424277519337,33.4831,0.8031046714001636,27.842399571733218
fuelP37Z5,37,5,10.374261079743723,13.472424277519337,40.1796,0.7700366961464136,32.26842445499001
fuelP38Z5,38,5,9.91123768054695,13.472424277519337,43.5668,0.7356684644414936,33.54803473367157
fuelP39Z5,39,5,9.509231083187933,13.472424277519337,39.5749,0.705829247009051,29.114005913425665
fuelP40Z5,40,5,9.275509958737196,13.472424277519337,23.9084,0.6884811350704496,16.875247969191197
fuelP41Z5,41,5,9.094853154689988,13.472424277519337,19.1127,0.6750717589755578,13.158733390260982
fuelP42Z5,42,5,8.972310850268661,13.472424277519337,13.2418,0.6659759717662872,8.939165218002541
fuelP43Z5,43,5,8.90357895872702,13.472424277519337,7.31962,0.660874299630239,4.8746910424599506
fuelP44Z5,44,5,8.797004960756642,13.472424277519337,11.6126,0.6529637709996782,7.674468891886114
fuelP45Z5,45,5,8.659413754108607,13.472424277519337,15.416,0.6427509686254519,10.066089493731038
fuelP46Z5,46,5,8.584396596896067,13.472424277519337,8.67177,0.6371827683025362,5.573788567197135
fuelP47Z5,47,5,8.529956359531447,13.472424277519337,6.05818,0.6331419040717784,3.860167903275059
fuelP48Z5,48,5,8.494681601087406,13.472424277519337,4.12061,0.6305236107551923,2.608930861337211
fuelP1Z6,1,6,13.480659843474324,13.480659843474324,0.0549433,1.0,0.03464304790280576
fuelP2Z6,2,6,13.469975614383877,13.480659843474324,0.0713535,0.9992074401984395,0.0713535
fuelP3Z6,3,6,13.468902982940307,13.480659843474324,0.0789808,0.9991278720277399,0.07891820299282491
fuelP4Z6,4,6,13.467910984351104,13.480659843474324,0.0797911,0.9990542852300073,0.0797215119497526
fuelP5Z6,5,6,13.466806394652966,13.480659843474324,0.079956,0.9989723463849536,0.07988038442985046
fuelP6Z6,6,6,13.465797343041787,13.480659843474324,0.0755637,0.998897494588165,0.07548604669052872
